url,type,originalFileBytes,decodedResourceBytes,downloadedBytes,width,height,initial,position,isLcp
"http://localhost:3100/images/products/OREWIC%20E.webp","Image",498598,498598,498882,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/OTOFIT%20EAR%20DROPS.webp","Image",545714,545714,545998,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/PREGANO%20PLUS.webp","Image",519372,519372,519656,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/PROFINAL%20LINIMENT.webp","Image",603446,603446,603730,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/PROFINAL.webp","Image",518678,518678,518962,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/QUIKTEL%2040%20copy.webp","Image",511924,511924,512208,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/QUIKTEL%20CL.webp","Image",523346,523346,523630,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/QUIKTEL%20H40.webp","Image",512798,512798,513082,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ROLIPTA%2010.webp","Image",495202,495202,495486,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/ROLIPTA%205.webp","Image",464856,464856,465140,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/STIL%2051.webp","Image",511110,511110,511394,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/STIL%20MD.webp","Image",439090,439090,439374,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/SUGAFLOZIN%2010.webp","Image",474274,474274,474558,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/TOLZO%20P.webp","Image",715402,715402,715686,1000,1000,true,"below fold (horizontal marquee)",false
"http://localhost:3100/images/products/TRIGGER%2040.webp","Image",474020,474020,474304,1000,1000,true,"below fold (horizontal marquee)",false
